#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:anthus_aco" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:anthus_aco" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:anthus_aco">
#                <taxonset id="TaxonSet.anthus_aco" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:anthus_aco" name="distribution" x="@birthRate.t:anthus_aco">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@anthus_aco" id="treeLikelihood.anthus_aco" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:anthus_aco">
#            <siteModel id="SiteModel.s:anthus_aco" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:anthus_aco" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:anthus_aco" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:anthus_aco" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:anthus_aco" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:anthus_aco" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:anthus_aco" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-6650.886398444065	-6644.492016195799	-6.394382248265859	-6644.492016195799	1.5030083794410036	-6.394382248265859	1.0
1000	-1971.844117064447	-2042.7148755699795	70.8707585055326	-2042.7148755699795	0.03279727106515646	70.8707585055326	49.376062438335325
2000	-1763.2913820253866	-1859.18103643928	95.88965441389337	-1859.18103643928	0.013007101819510949	95.88965441389337	321.64039750700476
3000	-1762.117846641788	-1857.4164412745106	95.29859463272263	-1857.4164412745106	0.013950192261190547	95.29859463272263	286.5631427465681
4000	-1763.0863725713978	-1864.750891470626	101.66451889922806	-1864.750891470626	0.010425097357022219	101.66451889922806	364.7046621478034
5000	-1761.160459930135	-1857.2461125804646	96.08565265032972	-1857.2461125804646	0.011647743409076103	96.08565265032972	305.423432631692
6000	-1760.9121316351552	-1859.1840903891564	98.27195875400109	-1859.1840903891564	0.011566088746106642	98.27195875400109	320.5653573777976
7000	-1763.3669901327562	-1857.350570513339	93.98358038058288	-1857.350570513339	0.0122988016365811	93.98358038058288	210.509098104323
8000	-1760.336235264729	-1860.120714332948	99.78447906821873	-1860.120714332948	0.00887533297482389	99.78447906821873	482.6274806605683
9000	-1759.044514868721	-1857.2820359006441	98.23752103192295	-1857.2820359006441	0.012611382692540482	98.23752103192295	251.43647307207672
10000	-1766.3138975874851	-1859.9268629390515	93.61296535156634	-1859.9268629390515	0.013915846592315661	93.61296535156634	224.2617639410233
11000	-1767.449743255303	-1859.5487738557438	92.09903060044073	-1859.5487738557438	0.012951796321929474	92.09903060044073	340.85944480579025
12000	-1762.2863234307097	-1857.6227505137838	95.33642708307414	-1857.6227505137838	0.012665873921718397	95.33642708307414	365.8130187860071
13000	-1767.7515474936476	-1864.3372724309907	96.58572493734303	-1864.3372724309907	0.010675041901845633	96.58572493734303	289.25175276085054
14000	-1769.2107385082925	-1860.956359306935	91.74562079864248	-1860.956359306935	0.011869320964777047	91.74562079864248	173.99943835040187
15000	-1767.5665443542248	-1857.1290824376251	89.56253808340045	-1857.1290824376251	0.016147281105721372	89.56253808340045	189.7854931202696
16000	-1765.4505210210716	-1855.3079335871005	89.85741256602888	-1855.3079335871005	0.015369379535504015	89.85741256602888	160.49630110799575
17000	-1764.0522936580505	-1859.0552524121072	95.00295875405675	-1859.0552524121072	0.014676806619623013	95.00295875405675	244.74872761879243
18000	-1769.60385684769	-1861.5181635551344	91.91430670744438	-1861.5181635551344	0.013292200820368492	91.91430670744438	285.02135769344704
19000	-1761.3022124560232	-1858.9658145831097	97.6636021270865	-1858.9658145831097	0.010867736390808106	97.6636021270865	277.0243702643829
20000	-1764.054909111191	-1857.823309704733	93.76840059354204	-1857.823309704733	0.01533068312787473	93.76840059354204	212.78675562424905
21000	-1770.8288505480962	-1867.1751503590156	96.34629981091939	-1867.1751503590156	0.009898143338393952	96.34629981091939	336.41969077743914
22000	-1765.8087176309546	-1859.0762525791079	93.26753494815324	-1859.0762525791079	0.013392939385965918	93.26753494815324	279.80016991574075
23000	-1767.5782337549103	-1859.113584446759	91.53535069184855	-1859.113584446759	0.014000645959229348	91.53535069184855	217.67943284725126
24000	-1762.0950317252875	-1855.8174572018834	93.72242547659576	-1855.8174572018834	0.011373335128928578	93.72242547659576	379.9561539825681
25000	-1769.2201849942533	-1862.5439551685276	93.3237701742743	-1862.5439551685276	0.011394222561256134	93.3237701742743	150.48647149562993
26000	-1759.654983593713	-1856.4290121586173	96.77402856490414	-1856.4290121586173	0.010634451456020806	96.77402856490414	436.36132772293274
27000	-1761.5935904126038	-1855.5579767896932	93.96438637708934	-1855.5579767896932	0.014331622425717767	93.96438637708934	240.08683137718154
28000	-1767.7425769261913	-1869.2167523536136	101.47417542742235	-1869.2167523536136	0.008361031579337392	101.47417542742235	284.30058317280606
29000	-1769.6061609084693	-1864.4057398370153	94.79957892854591	-1864.4057398370153	0.010674407550647587	94.79957892854591	264.09634452844983
30000	-1763.7049261363884	-1858.6657917108212	94.96086557443277	-1858.6657917108212	0.011656467038537333	94.96086557443277	242.3784636849976
31000	-1767.4067287272858	-1862.492103795699	95.08537506841316	-1862.492103795699	0.011927405574682153	95.08537506841316	282.9251605864487
32000	-1765.0655478587648	-1861.3788489894052	96.31330113064047	-1861.3788489894052	0.011946524963042764	96.31330113064047	239.9424367099696
33000	-1767.9259740351192	-1864.699466137278	96.77349210215878	-1864.699466137278	0.011073886805251164	96.77349210215878	312.9090067017184
34000	-1759.9395139547319	-1856.6219358178832	96.6824218631514	-1856.6219358178832	0.013090695083718958	96.6824218631514	370.52134328196564
35000	-1763.5912585050992	-1860.434379816322	96.84312131122282	-1860.434379816322	0.012365285571500333	96.84312131122282	213.3530487334383
36000	-1763.5273622468226	-1863.7267281642046	100.19936591738212	-1863.7267281642046	0.008892382935504196	100.19936591738212	226.38684484492165
37000	-1766.9351241381366	-1858.4079113817565	91.47278724361986	-1858.4079113817565	0.01568101895598686	91.47278724361986	173.30792871846265
38000	-1762.4824616102953	-1859.1407711184547	96.65830950815932	-1859.1407711184547	0.011759078777147443	96.65830950815932	336.48846885921193
39000	-1769.148169263423	-1865.3687576114764	96.22058834805358	-1865.3687576114764	0.010271105870590012	96.22058834805358	276.1354680912772
40000	-1764.302983112806	-1857.4580975089777	93.15511439617163	-1857.4580975089777	0.01582189069286933	93.15511439617163	192.0334644130719
41000	-1764.8469156462788	-1859.1024874763268	94.2555718300481	-1859.1024874763268	0.01420773661380505	94.2555718300481	208.9333610478054
42000	-1761.2705044319923	-1860.695489996864	99.42498556487153	-1860.695489996864	0.01101001964701838	99.42498556487153	337.06846470771956
43000	-1765.0654412547144	-1856.5698627684164	91.504421513702	-1856.5698627684164	0.013349772466830057	91.504421513702	243.40162360941522
44000	-1761.9440222674211	-1858.4296609522316	96.48563868481048	-1858.4296609522316	0.010026272434459905	96.48563868481048	504.9049572640061
45000	-1767.664435430769	-1860.7127907584443	93.04835532767531	-1860.7127907584443	0.01654728620791013	93.04835532767531	177.77327624859745
46000	-1763.1682388803138	-1857.8209735733171	94.65273469300348	-1857.8209735733171	0.011745984854893336	94.65273469300348	205.91695582021475
47000	-1764.290850330267	-1858.0714602346616	93.78060990439471	-1858.0714602346616	0.013619706770786373	93.78060990439471	222.84080666537557
48000	-1758.053758984353	-1857.7283811317423	99.67462214738936	-1857.7283811317423	0.01139490564918306	99.67462214738936	340.4139160455005
49000	-1762.7490934346486	-1861.1870882397873	98.4379948051387	-1861.1870882397873	0.011445613315266749	98.4379948051387	298.92603409050463
50000	-1757.6125521783324	-1857.4921105518142	99.87955837348179	-1857.4921105518142	0.011260748151667454	99.87955837348179	309.34286776366525
51000	-1759.7978036516197	-1857.393505111101	97.59570145948132	-1857.393505111101	0.010910762270930534	97.59570145948132	347.12835870854803
52000	-1766.8876812940975	-1863.650963726931	96.7632824328335	-1863.650963726931	0.012865664885175305	96.7632824328335	298.3813500330148
53000	-1767.5168003494464	-1860.5754508429611	93.05865049351483	-1860.5754508429611	0.015186231301090484	93.05865049351483	191.99506750379214
54000	-1765.5505358448418	-1858.2030605995706	92.65252475472879	-1858.2030605995706	0.013956035970780127	92.65252475472879	241.74637964292012
55000	-1767.9194088380202	-1860.4219234438997	92.50251460587948	-1860.4219234438997	0.013211031308626857	92.50251460587948	241.91630100279792
56000	-1761.6851399593274	-1858.3312233454776	96.64608338615005	-1858.3312233454776	0.012245485666418286	96.64608338615005	307.77935970667767
57000	-1759.6258486659071	-1856.4321351204553	96.80628645454809	-1856.4321351204553	0.012420587968842057	96.80628645454809	296.06579924330526
58000	-1763.195571805078	-1856.9862750582495	93.79070325317147	-1856.9862750582495	0.013988199239380593	93.79070325317147	343.5337948230679
59000	-1762.518033351189	-1864.131496532392	101.61346318120314	-1864.131496532392	0.009971738655576332	101.61346318120314	451.867165846922
60000	-1768.0451749333724	-1862.4678574944705	94.42268256109804	-1862.4678574944705	0.011513027416150387	94.42268256109804	309.87319378073414
61000	-1764.4854745627013	-1867.9583406179718	103.4728660552705	-1867.9583406179718	0.009175660132669846	103.4728660552705	513.7920733410842
62000	-1770.6941880538802	-1868.213893265705	97.51970521182483	-1868.213893265705	0.01030426995802668	97.51970521182483	327.5821305308392
